Nama_Produk,Akun,Ulasan,Rate,normalized_Ulasan,cleaned_Ulasan,tokenized_Ulasan,stemmed_Ulasan,final_Ulasan,Sentiment
Oppo A60,s***e,"pesenan sampai sesuai,kwalitas barang original respon penjual cepet.",5.0,"pesenan sampai sesuai,kwalitas barang original respon penjual cepet.",pesenan sampai sesuaikwalitas barang original respon penjual cepet,"['pesenan', 'sampai', 'sesuaikwalitas', 'barang', 'original', 'respon', 'penjual', 'cepet']","['sen', 'sampai', 'sesuaikwalitas', 'barang', 'original', 'respon', 'jual', 'cepet']","['sen', 'sesuaikwalitas', 'barang', 'original', 'respon', 'jual', 'cepet']",Positif
Oppo A60,T***y,barang asli oppo. sesuai imei nya. masih segel. trims,5.0,Barang asli oppo. Sesuai imei nya. Masih segel. Trims,barang asli oppo sesuai imei nya masih segel trims,"['barang', 'asli', 'oppo', 'sesuai', 'imei', 'nya', 'masih', 'segel', 'trims']","['barang', 'asli', 'oppo', 'sesuai', 'imei', 'nya', 'masih', 'segel', 'trims']","['barang', 'asli', 'oppo', 'sesuai', 'imei', 'segel', 'trims']",Positif
Oppo A60,Sam,alhamdulillah puasss,5.0,alhamdulillah Puasss,alhamdulillah puasss,"['alhamdulillah', 'puasss']","['alhamdulillah', 'puasss']",['alhamdulillah'],Positif
Oppo A60,A***a,oke thanks,5.0,oke thanks,oke thanks,"['oke', 'thanks']","['oke', 'thanks']",[],Positif
Oppo A60,cyber,"joooooos, tidak diragukan lagi",5.0,"joooooos, tidak diragukan lagi",joooooos tidak diragukan lagi,"['joooooos', 'tidak', 'diragukan', 'lagi']","['joooooos', 'tidak', 'ragu', 'lagi']",['ragu'],Positif
Oppo A60,Yat,"mantul, walaupun ada drama di kurir pengirimanya☝🏻",5.0,"Mantul, walaupun ada drama di kurir pengirimanya☝🏻",mantul walaupun ada drama di kurir pengirimanya,"['mantul', 'walaupun', 'ada', 'drama', 'di', 'kurir', 'pengirimanya']","['mantul', 'walaupun', 'ada', 'drama', 'di', 'kurir', 'pengirimanya']","['mantul', 'drama', 'kurir', 'pengirimanya']",Positif
Oppo A60,Eddie,"sll recomended.. smpai saat ini msh terbaik.. sdh kesekian kalinya beli disini, ttp amanah.. seller fast respon.. expedisi jg sgt cepat via jne.. ke tempat sy biasanya 5... selengkapnya",5.0,"selalu recomended.. sampai saat ini masih terbaik.. sdh kesekian kalinya beli disini, ttp amanah.. seller fast respon.. expedisi juga sgt cepat via JNE.. ke tempat saya biasanya 5... Selengkapnya",selalu recomended sampai saat ini masih terbaik sdh kesekian kalinya beli disini ttp amanah seller fast respon expedisi juga sgt cepat via jne ke tempat saya biasanya  selengkapnya,"['selalu', 'recomended', 'sampai', 'saat', 'ini', 'masih', 'terbaik', 'sdh', 'kesekian', 'kalinya', 'beli', 'disini', 'ttp', 'amanah', 'seller', 'fast', 'respon', 'expedisi', 'juga', 'sgt', 'cepat', 'via', 'jne', 'ke', 'tempat', 'saya', 'biasanya', 'selengkapnya']","['selalu', 'recomended', 'sampai', 'saat', 'ini', 'masih', 'baik', 'sdh', 'sekian', 'kali', 'beli', 'sini', 'ttp', 'amanah', 'seller', 'fast', 'respon', 'expedisi', 'juga', 'sgt', 'cepat', 'via', 'jne', 'ke', 'tempat', 'saya', 'biasa', 'lengkap']","['recomended', 'sdh', 'sekian', 'kali', 'beli', 'ttp', 'amanah', 'seller', 'fast', 'respon', 'sgt', 'cepat', 'via', 'jne', 'lengkap']",Positif
Oppo A60,Wahyudi,sesuai deskripsi respon cepat dan semoga awet,5.0,Sesuai deskripsi respon cepat dan semoga awet,sesuai deskripsi respon cepat dan semoga awet,"['sesuai', 'deskripsi', 'respon', 'cepat', 'dan', 'semoga', 'awet']","['sesuai', 'deskripsi', 'respon', 'cepat', 'dan', 'moga', 'awet']","['sesuai', 'deskripsi', 'respon', 'cepat', 'moga', 'awet']",Positif
Oppo A60,Acep,"barang sesuai deskripsi, warna sesuai orderan, thanks,gan.",5.0,"Barang sesuai deskripsi, Warna sesuai orderan, Thanks,Gan.",barang sesuai deskripsi warna sesuai orderan thanksgan,"['barang', 'sesuai', 'deskripsi', 'warna', 'sesuai', 'orderan', 'thanksgan']","['barang', 'sesuai', 'deskripsi', 'warna', 'sesuai', 'order', 'thanksgan']","['barang', 'sesuai', 'deskripsi', 'warna', 'sesuai', 'order', 'thanksgan']",Positif
Oppo A60,Tias,barang masih segel. respon seler cepet.,5.0,Barang masih segel. Respon seler cepet.,barang masih segel respon seler cepet,"['barang', 'masih', 'segel', 'respon', 'seler', 'cepet']","['barang', 'masih', 'segel', 'respon', 'seler', 'cepet']","['barang', 'segel', 'respon', 'seler', 'cepet']",Positif
